n nonC C Compression_rate
1  4  5 1,25
2  8  10 1,25
3  12  15 1,25
4  16  20 1,25
5  20  21 1,05
6  24  30 1,25
7  28  35 1,25
8  32  36 1,125
9  36  45 1,25
10  40  46 1,15
20  80  100 1,25
30  120  138 1,15
40  160  156 0,975
50  200  210 1,05
60  240  252 1,05
70  280  278 0,9928
80  320  336 1,05
90  360  366 1,0166
100  400  380 0,95
200  800  740 0,925
300  1200  1088 0,9066
400  1600  1404 0,8775
500  2000  1696 0,848
600  2400  2036 0,8483
700  2800  2376 0,8485
800  3200  2708 0,84625
900  3600  2996 0,832222222
1000  4000  3320 0,83
2000  8000  6304 0,788
3000  12000  9048 0,754
4000  16000  12164 0,76025
5000  20000  14768 0,7384
6000  24000  17424 0,726
7000  28000  20112 0,7182
8000  32000  23012 0,719125
9000  36000  25592 0,7108
10000  40000  28260 0,7065
20000  80000  54408 0,6801
30000  120000  80256 0,6688
40000  160000  105400 0,65875
50000  200000  130280 0,6514

